,Open,High,Low,Close,Volume,Log return %
2020-09-29,99.59,106.55,102.19,103.33,5191680.0,3.6865992282715374
2020-09-28,99.13,99.82,98.82,99.59,2169790.0,0.46296378987421966
2020-09-25,98.82,99.36,98.97,99.13,1011140.0,0.3132106627202154
2020-09-24,100.29,100.29,98.82,98.82,1506610.0,-1.4765975682513066
2020-09-23,100.6,101.07,100.21,100.29,1042800.0,-0.30862685655218325
2020-09-22,100.99,101.07,99.75,100.6,1244610.0,-0.38692443728266984
2020-09-21,98.12,101.07,98.12,100.99,2614310.0,2.8830282648176797
2020-09-18,96.64,98.12,96.41,98.12,1224030.0,1.5198485203783745
2020-09-17,96.41,97.65,96.25,96.64,1376570.0,0.23828035102158746
2020-09-16,96.87,97.03,96.18,96.41,724510.0,-0.4759942762004581
2020-09-15,96.41,96.95,96.25,96.87,882030.0,0.47599427620046647
2020-09-14,96.1,97.03,96.25,96.41,1194170.0,0.3220614700042157
2020-09-11,96.8,96.8,95.87,96.1,956670.0,-0.7257678306284528
2020-09-10,96.1,97.34,96.56,96.8,848330.0,0.7257678306284511
2020-09-09,96.41,96.41,94.31,96.1,1621920.0,-0.32206147000422836
2020-09-08,97.81,98.89,96.18,96.41,1809570.0,-1.4416890626112586
2020-09-07,97.03,99.67,96.95,97.81,2178380.0,0.8006612265193459
2020-09-04,96.8,97.03,95.56,97.03,1711980.0,0.23732147546768012
2020-09-03,95.63,96.87,95.87,96.8,2016680.0,1.2160415921079977
2020-09-01,93.93,95.63,93.3,95.63,1448060.0,1.7936754355027122
2020-08-31,92.61,93.93,92.76,93.93,1634090.0,1.4152696824246582
2020-08-28,90.98,93.15,90.98,92.61,1341270.0,1.7757425040319526
2020-08-27,90.9,91.52,90.82,90.98,799570.0,0.08797009584249038
2020-08-26,91.05,91.75,90.74,90.9,1922780.0,-0.1648804990183671
2020-08-25,90.43,91.52,90.66,91.05,1693030.0,0.6832735421228069
2020-08-24,89.73,91.29,90.04,90.43,1526860.0,0.7770909442422546
2020-08-21,89.42,90.04,89.35,89.73,884990.0,0.34607905041317205
2020-08-20,89.5,89.89,88.96,89.42,1254280.0,-0.08942544749751354
2020-08-19,89.73,90.04,89.19,89.5,981840.0,-0.2566536029156741
2020-08-18,90.82,91.13,89.73,89.73,604570.0,-1.2074364359838572
2020-08-17,90.59,91.52,89.5,90.82,906890.0,0.2535693988608455
2020-08-14,90.35,91.6,90.2,90.59,1623690.0,0.26528146429590194
2020-08-13,89.73,90.51,89.97,90.35,1238980.0,0.6885855728270992
2020-08-12,88.88,89.97,88.88,89.73,1451960.0,0.9518015978591828
2020-08-11,88.88,89.27,88.49,88.88,852250.0,0.0
2020-08-10,89.66,90.43,88.88,88.88,1412680.0,-0.8737593395918931
2020-08-07,89.11,90.04,89.11,89.66,1148200.0,0.6153177102664896
